City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Fairbanks,US,78.03,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
15,Ponta Do Sol,PT,76.01,few clouds,32.6667,-17.1,Hotel do Campo
32,Broome,US,75.0,few clouds,42.2506,-75.833,Chenango Valley State Park
35,Roma,US,75.38,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
39,Bubaque,GW,79.12,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
43,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
46,Salamanca,ES,73.18,clear sky,40.8333,-6.0,Palacio Carrascalino
54,Hami,CN,78.96,clear sky,42.8,93.45,Laoyutang Resort
58,Kelo,TD,75.45,broken clouds,9.3086,15.8066,Plantation de Kelo
61,Corrientes,AR,73.98,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
63,Hilo,US,78.24,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
68,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
85,Atuona,PF,77.85,scattered clouds,-9.8,-139.0333,Villa Enata
86,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
95,Tura,IN,73.87,light rain,25.5198,90.2201,Hotel RIKMAN Continental
111,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
112,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
121,Jamestown,US,72.01,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
134,Salalah,OM,75.99,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
135,Anloga,GH,79.02,overcast clouds,5.7947,0.8973,Pin Drop Hotel
137,Daoukro,CI,76.98,overcast clouds,7.0591,-3.9631,Komenan brou roseline
138,Torbay,CA,72.37,overcast clouds,47.6666,-52.7314,Gallows Cove
142,Pangkalanbuun,ID,74.17,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
143,Vila Velha,BR,73.96,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
147,Saint-Raymond,CA,76.98,scattered clouds,45.467,-73.6095,Le Chabrol Hôtel et Suites
149,Jiaocheng,CN,75.63,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
152,Nurota,UZ,78.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
165,Gorontalo,ID,74.64,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
168,Buala,SB,78.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
170,Bengkulu,ID,75.25,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Soubre,CI,74.39,few clouds,5.7856,-6.6083,Lynd Hotels Soubre
175,Kalmunai,LK,79.97,overcast clouds,7.4167,81.8167,VS Villa
177,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
181,Norman Wells,CA,77.04,smoke,65.282,-126.8329,Heritage Hotel
182,Naze,JP,77.81,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
193,Pyinmana,MM,74.1,overcast clouds,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
194,Bingerville,CI,77.94,few clouds,5.3584,-3.8869,Residence Hotel le Jourdain
198,Kolokani,ML,79.77,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
202,Basoko,CD,75.15,overcast clouds,1.2391,23.616,Jackyna Hotel
203,Hambantota,LK,78.85,light rain,6.1241,81.1185,Bungalow 63
220,Seoul,KR,76.51,few clouds,37.5683,126.9778,롯데호텔 서울
222,Hobyo,SO,77.36,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
227,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
229,Ankang,CN,78.66,clear sky,32.68,109.0172,安琪酒店
234,Vanimo,PG,77.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
250,Makakilo City,US,79.68,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
267,Avignon,FR,72.91,clear sky,44.0833,4.8333,ibis Orange Sud
269,Takoradi,GH,77.52,scattered clouds,4.8845,-1.7554,Raybow International Hotel
290,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
299,Mogadishu,SO,76.21,broken clouds,2.0371,45.3438,Hotel Juba
300,Alofi,NU,73.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
304,Mao,ES,73.96,few clouds,39.8885,4.2658,ARTIEM Capri
317,Buritizeiro,BR,79.07,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
330,Badoc,PH,79.48,heavy intensity rain,17.9265,120.4764,Triplets plus One Inn
332,Karatau,KZ,75.06,broken clouds,43.1667,70.4667,Baza Zika
335,Meulaboh,ID,75.36,broken clouds,4.1363,96.1285,Kost Pria
346,Dingle,PH,78.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
349,Manokwari,ID,78.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
354,Agnibilekrou,CI,72.57,overcast clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
358,Edea,CM,76.78,light rain,3.8,10.1333,Micotel Hotel
